SM	TPS	CYP
PF00005	GRMZM2G074309	GRMZM2G079619
PF00017	GRMZM2G068808	GRMZM2G125482
PF00018	GRMZM2G465812	GRMZM2G013956
PF00067	GRMZM2G179092	GRMZM2G067225
PF00106	GRMZM2G127336	GRMZM2G123309
PF00107	GRMZM2G030583	GRMZM2G154828
PF00108	GRMZM2G390124	GRMZM2G094273
PF00109	GRMZM2G451187	GRMZM2G062946
PF00117	GRMZM2G093526	GRMZM5G830329
PF00118	AC217050.4_FG007	GRMZM5G894486
PF00144	GRMZM2G319445	GRMZM2G104877
PF00156	GRMZM2G044481	GRMZM2G034471
PF00168	GRMZM2G081554	GRMZM2G178351
PF00171	GRMZM2G011151	GRMZM2G025832
PF00185	AC214360.3_FG001	GRMZM2G047684
PF00195	GRMZM2G061023	GRMZM5G852663
PF00201	GRMZM2G127087	GRMZM2G163774
PF00202	GRMZM2G016254	GRMZM2G065635
PF00221	GRMZM2G084496	GRMZM2G363429
PF00232	GRMZM2G016922	GRMZM2G123037
PF00248	GRMZM2G010356	GRMZM5G875732
PF00264	GRMZM2G117319	GRMZM2G432167
PF00278	GRMZM2G038153	GRMZM2G140817
PF00282	AC205502.4_FG004	GRMZM2G140915
PF00288	GRMZM2G309126	GRMZM2G002178
PF00289	GRMZM2G177098	GRMZM2G096029
PF00290	GRMZM2G391312	GRMZM2G085845
PF00291	GRMZM2G093603	GRMZM2G066441
PF00293	GRMZM2G064406	GRMZM2G107322
PF00303	GRMZM2G028306	GRMZM2G106650
PF00305	GRMZM2G046615	GRMZM2G159807
PF00328	AC218998.2_FG011	GRMZM2G451939
PF00348	GRMZM2G445854	GRMZM2G012391
PF00368	GRMZM2G108609	GRMZM2G033098
PF00378	GRMZM2G061016	GRMZM2G138074
PF00387	GRMZM2G038340	AC200099.4_FG003
PF00388	GRMZM2G049538	AC200099.4_FG006
PF00407	GRMZM2G127087	GRMZM2G014580
PF00425		GRMZM2G058366
PF00432		GRMZM2G135387
PF00441		GRMZM2G399530
PF00450		GRMZM2G172491
PF00454		GRMZM2G066784
PF00459		GRMZM2G130755
PF00465		GRMZM2G070620
PF00478		GRMZM2G147245
PF00483		GRMZM2G167549
PF00487		GRMZM2G159353
PF00491		GRMZM2G126505
PF00494		GRMZM5G836610
PF00498		GRMZM5G886096
PF00501		GRMZM2G143202
PF00534		GRMZM2G085661
PF00535		GRMZM5G864903
PF00536		GRMZM2G106468
PF00550		GRMZM5G866027
PF00561		GRMZM2G091588
PF00583		GRMZM2G425127
PF00587		GRMZM2G075244
PF00596		GRMZM2G313750
PF00613		GRMZM2G422581
PF00617		GRMZM2G126055
PF00620		GRMZM2G315230
PF00668		AC234517.1_FG005
PF00682		GRMZM2G450231
PF00685		AC210173.4_FG005
PF00696		GRMZM2G113618
PF00698		GRMZM2G079484
PF00709		GRMZM2G397402
PF00724		GRMZM2G162737
PF00725		GRMZM2G028677
PF00732		GRMZM2G105185
PF00733		GRMZM2G022996
PF00743		GRMZM2G132478
PF00753		AC218998.2_FG001
PF00765		GRMZM2G147752
PF00766		GRMZM2G168392
PF00782		GRMZM2G122654
PF00788		GRMZM2G019666
PF00797		GRMZM6G859365
PF00800		GRMZM2G010221
PF00857		GRMZM2G014395
PF00891		GRMZM2G350020
PF00908		GRMZM2G020761
PF00941		GRMZM2G096086
PF00975		GRMZM2G057514
PF00982		GRMZM2G159179
PF01008		GRMZM2G013357
PF01012		GRMZM2G108698
PF01022		GRMZM2G138248
PF01040		GRMZM2G302074
PF01041		GRMZM2G054603
PF01048		GRMZM2G181192
PF01063		GRMZM2G030831
PF01066		GRMZM2G003796
PF01073		GRMZM2G161472
PF01118		GRMZM2G002142
PF01128		GRMZM2G170047
PF01148		GRMZM2G396248
PF01154		GRMZM2G065245
PF01222		GRMZM2G090432
PF01227		AC186603.6_FG003
PF01242		GRMZM2G476597
PF01243		GRMZM5G816561
PF01255		GRMZM2G121264
PF01315		GRMZM2G009232
PF01363		AC233853.1_FG003
PF01381		GRMZM2G100012
PF01397		GRMZM2G171139
PF01408		GRMZM2G167673
PF01467		GRMZM2G132450
PF01474		GRMZM2G103773
PF01477		GRMZM2G140448
PF01494		GRMZM2G100423
PF01501		GRMZM2G079298
PF01504		GRMZM2G087875
PF01575		GRMZM2G144407
PF01593		GRMZM2G015542
PF01596		GRMZM2G351259
PF01636		AC217947.4_FG002
PF01643		GRMZM2G394688
PF01658		GRMZM2G021310
PF01678		GRMZM2G085812
PF01729		GRMZM2G119067
PF01756		GRMZM2G089803
PF01761		GRMZM2G120621
PF01799		GRMZM2G024331
PF01817		GRMZM2G031909
PF01887		GRMZM2G123446
PF01959		GRMZM2G177668
PF02153		GRMZM2G026322
PF02211		GRMZM2G118809
PF02274		GRMZM2G164036
PF02353		GRMZM2G394783
PF02383		GRMZM2G031125
PF02401		GRMZM2G147119
PF02431		GRMZM2G032896
PF02441		GRMZM2G303426
PF02453		GRMZM2G102079
PF02458		GRMZM2G370519
PF02522		GRMZM2G062151
PF02542		GRMZM2G407650
PF02543		GRMZM2G167698
PF02567		GRMZM2G093195
PF02585		GRMZM2G321033
PF02595		GRMZM2G323830
PF02615		GRMZM2G176943
PF02655		GRMZM2G510303
PF02664		GRMZM2G129860
PF02668		GRMZM2G560358
PF02670		GRMZM5G899349
PF02729		GRMZM2G018612
PF02737		GRMZM2G162758
PF02738		GRMZM2G076936
PF02749		GRMZM2G135536
PF02770		GRMZM2G349187
PF02771		GRMZM2G137380
PF02784		AC202069.3_FG002
PF02785		GRMZM2G150907
PF02786		GRMZM2G049424
PF02797		GRMZM2G160763
PF02801		GRMZM2G148969
PF02803		GRMZM2G148052
PF02894		GRMZM2G177384
PF02900		GRMZM2G100158
PF02979		GRMZM2G154870
PF03033		GRMZM2G072653
PF03055		GRMZM2G131508
PF03061		GRMZM2G075461
PF03079		GRMZM2G181456
PF03088		GRMZM5G847159
PF03171		GRMZM2G057694
PF03241		GRMZM2G063756
PF03284		GRMZM2G102662
PF03301		GRMZM2G127972
PF03364		AC214524.3_FG002
PF03372		GRMZM2G167986
PF03417		GRMZM2G086489
PF03447		GRMZM2G312069
PF03450		GRMZM2G523371
PF03492		GRMZM2G134703
PF03559		GRMZM6G986387
PF03583		GRMZM2G023952
PF03621		GRMZM2G031364
PF03662		GRMZM2G068465
PF03770		GRMZM2G105469
PF03781		GRMZM2G110388
PF03936		GRMZM2G459563
PF03992		GRMZM2G084407
PF04055		GRMZM2G161169
PF04072		GRMZM2G147774
PF04107		GRMZM2G400129
PF04116		GRMZM2G056247
PF04199		GRMZM2G147467
PF04275		AC202122.2_FG001
PF04321		GRMZM6G235245
PF04339		GRMZM2G122498
PF04551		GRMZM2G012865
PF04655		GRMZM2G070109
PF04673		GRMZM2G106408
PF04715		GRMZM2G057086
PF04820		GRMZM2G377451
PF04863		GRMZM2G022947
PF04864		GRMZM2G104294
PF04909		GRMZM2G167336
PF05014		GRMZM2G021436
PF05116		GRMZM2G037781
PF05139		GRMZM2G026532
PF05199		GRMZM2G065928
PF05241		GRMZM2G102318
PF05368		GRMZM2G138008
PF05691		GRMZM2G107199
PF05711		GRMZM2G124972
PF05721		GRMZM2G035309
PF05770		GRMZM2G181236
PF05834		GRMZM2G027041
PF05995		GRMZM5G851862
PF06057		GRMZM2G376661
PF06090		GRMZM2G308666
PF06094		GRMZM2G104783
PF06351		GRMZM2G092823
PF06508		GRMZM2G168858
PF06602		GRMZM2G011156
PF07137		GRMZM2G067591
PF07143		GRMZM2G175250
PF07298		GRMZM5G822100
PF07366		GRMZM2G168016
PF07731		GRMZM2G083574
PF07859		GRMZM2G007698
PF07883		AC198752.4_FG004
PF07993		GRMZM2G363583
PF07994		AC209987.4_FG002
PF08031		GRMZM2G059308
PF08100		GRMZM2G446454
PF08241		GRMZM2G164074
PF08242		GRMZM2G148441
PF08392		GRMZM2G045319
PF08415		GRMZM2G329029
PF08421		GRMZM2G114988
PF08436		GRMZM2G180082
PF08484		GRMZM2G093286
PF08491		GRMZM2G015232
PF08498		GRMZM2G013082
PF08540		GRMZM2G168382
PF08541		GRMZM2G138750
PF08543		GRMZM5G810393
PF08544		GRMZM2G036257
PF08545		GRMZM2G069722
PF08659		GRMZM2G306998
PF08703		GRMZM2G424804
PF08892		GRMZM5G837869
PF08990		GRMZM2G169152
PF09277		GRMZM2G172826
PF09279		GRMZM2G075161
PF09788		GRMZM2G052825
PF10017		GRMZM2G179143
PF10397		GRMZM2G702529
PF10409		GRMZM2G384884
PF10590		GRMZM2G035073
PF10604		GRMZM2G419342
PF11468		GRMZM2G139874
PF11794		GRMZM2G057749
PF11991		GRMZM2G057208
PF12680		GRMZM2G039278
PF12681		GRMZM2G470442
PF12697		GRMZM2G089528
PF12804		GRMZM2G016264
PF12867		GRMZM2G370745
PF13186		GRMZM2G143235
PF13193		GRMZM2G100412
PF13243		GRMZM2G022904
PF13249		GRMZM2G179147
PF13277		GRMZM2G154752
PF13288		GRMZM2G055431
PF13292		AC210173.4_FG005
PF13323		GRMZM2G154652
PF13380		GRMZM2G070508
PF13419		GRMZM2G431288
PF13450		GRMZM2G401463
PF13508		GRMZM2G139467
PF13537		GRMZM2G171118
PF13579		GRMZM2G044636
PF13580		GRMZM5G884985
PF13847		GRMZM2G158342
PF14226		GRMZM2G133720
PF14299		GRMZM2G040728
PF14399		GRMZM2G105954
PF14749		GRMZM2G042543
PF14765		GRMZM2G020500
		GRMZM2G091822
		GRMZM2G010468
		GRMZM2G168404
		GRMZM2G074871
		AF546187.1_FG011