GeneID,ZmPep3
GRMZM2G125823,0
GRMZM2G036203,0
GRMZM2G073755,0
GRMZM2G576460,0
GRMZM2G485184,0
GRMZM2G022181,0
GRMZM2G144097,0
GRMZM2G159711,0
GRMZM2G110027,0
AC234526.1_FG005,0
GRMZM2G337594,0
GRMZM2G165901,0
GRMZM2G059700,0
GRMZM2G040878,-1.244940043
GRMZM2G157207,-1.282799862
GRMZM2G322328,-1.335419279
GRMZM2G056686,-1.337635975
GRMZM2G046474,-1.358913431
GRMZM2G109221,-1.379999269
GRMZM2G377761,-1.38391187
GRMZM2G073743,-1.388805268
GRMZM2G052658,-1.392158714
GRMZM2G062471,-1.403315543
GRMZM2G118979,-1.410108855
GRMZM2G098973,-1.412347771
GRMZM2G113093,-1.423805058
GRMZM2G129208,-1.425028478
GRMZM2G145527,-1.432345917
GRMZM2G099367,-1.433923746
GRMZM2G038284,-1.435534953
GRMZM5G825759,-1.435803048
GRMZM2G036113,-1.439678315
GRMZM2G069092,-1.441289118
GRMZM2G033971,-1.44248869
GRMZM2G085153,-1.442966897
GRMZM2G026371,-1.446263886
GRMZM2G018403,-1.447583603
GRMZM2G088320,-1.450772699
GRMZM2G072041,-1.451154077
GRMZM2G011129,-1.452846065
GRMZM2G059083,-1.466669368
GRMZM2G070723,-1.473855026
GRMZM2G351259,-1.487106951
GRMZM2G134067,-1.489818371
GRMZM2G342685,-1.490647514
GRMZM2G027663,-1.492379972
GRMZM2G080530,-1.492790556
GRMZM2G009320,-1.493200173
GRMZM5G862107,-1.498075065
GRMZM2G041534,-1.498168456
GRMZM2G418194,-1.499568149
GRMZM2G480516,-1.50019626
GRMZM2G466780,-1.500732208
GRMZM2G113244,-1.506226471
GRMZM2G005170,-1.508655811
GRMZM2G098346,-1.513639982
GRMZM2G061876,-1.522853431
GRMZM2G059252,-1.524334506
GRMZM2G010196,-1.525163133
GRMZM2G068590,-1.525759759
GRMZM2G088965,-1.530451723
GRMZM2G072744,-1.531172807
GRMZM2G124321,-1.531251998
GRMZM2G084407,-1.532499779
GRMZM2G465806,-1.534353871
GRMZM2G051059,-1.535306489
GRMZM2G040300,-1.54253547
AC205376.4_FG003,-1.545316518
GRMZM2G443715,-1.547876434
GRMZM2G101875,-1.550027512
GRMZM2G062488,-1.554430255
GRMZM2G121612,-1.555236525
GRMZM2G159250,-1.557927594
GRMZM2G057820,-1.558015584
GRMZM2G438524,-1.55989004
GRMZM2G068506,-1.560031698
GRMZM2G104024,-1.560582705
GRMZM2G122793,-1.561289469
AC198418.3_FG005,-1.563191912
GRMZM2G701207,-1.567679245
GRMZM2G031169,-1.577370271
GRMZM5G842071,-1.577491884
GRMZM2G384528,-1.577592851
GRMZM5G805134,-1.579567025
GRMZM2G048912,-1.580406964
GRMZM2G349062,-1.583099607
GRMZM2G057159,-1.584065564
GRMZM2G449133,-1.592295698
GRMZM2G488458,-1.592461815
GRMZM2G572658,-1.597219967
GRMZM2G031761,-1.604917346
GRMZM2G088138,-1.605037196
GRMZM2G109448,-1.607620992
GRMZM2G312910,-1.611413539
GRMZM2G002165,-1.619427253
GRMZM2G099944,-1.621908438
GRMZM2G143870,-1.621912679
GRMZM2G126371,-1.623271129
GRMZM2G098643,-1.624222419
GRMZM2G022837,-1.626124375
GRMZM2G167253,-1.62780896
AC148152.3_FG008,-1.632148351
GRMZM2G017110,-1.632941713
GRMZM2G083504,-1.634142861
GRMZM2G000660,-1.641302058
GRMZM2G027437,-1.64241929
GRMZM2G330049,-1.644338795
GRMZM2G113325,-1.646052325
GRMZM5G896082,-1.650743882
GRMZM2G164963,-1.654039808
GRMZM2G445575,-1.656430558
GRMZM2G162805,-1.658141084
GRMZM2G394528,-1.658321352
GRMZM2G155753,-1.659133358
GRMZM2G380457,-1.659167375
GRMZM5G845496,-1.662378037
GRMZM2G372297,-1.665266848
GRMZM2G038448,-1.665627875
GRMZM5G813886,-1.669213265
GRMZM2G062788,-1.669879457
GRMZM2G152477,-1.671028362
GRMZM2G062129,-1.673422798
GRMZM2G152040,-1.673540798
GRMZM2G120563,-1.675958329
GRMZM2G163988,-1.676503432
GRMZM2G004352,-1.676999608
GRMZM2G102946,-1.678687567
GRMZM2G474769,-1.68064377
GRMZM2G176820,-1.686042962
GRMZM2G073054,-1.686496108
GRMZM2G178192,-1.688252891
GRMZM5G814089,-1.690652
GRMZM2G025322,-1.697818643
GRMZM2G084142,-1.697924558
GRMZM2G540403,-1.69936543
AC217499.3_FG003,-1.700370028
GRMZM2G137151,-1.700521287
GRMZM2G171444,-1.700640949
GRMZM2G163437,-1.702172748
GRMZM2G003869,-1.708961603
GRMZM2G169405,-1.712177634
GRMZM2G139994,-1.721269817
GRMZM2G102968,-1.727293757
GRMZM2G402092,-1.730180866
GRMZM2G011213,-1.731434615
GRMZM2G391936,-1.734086302
GRMZM5G899043,-1.734274324
GRMZM2G095333,-1.735700335
GRMZM2G028302,-1.736826951
GRMZM2G083935,-1.737096018
GRMZM2G106578,-1.737786768
GRMZM2G054387,-1.741123273
GRMZM2G145496,-1.743514025
AC205897.3_FG002,-1.746571487
GRMZM2G164965,-1.747825971
GRMZM2G300348,-1.749970156
GRMZM2G058250,-1.751977508
GRMZM2G113205,-1.753793128
GRMZM5G837563,-1.754073099
GRMZM2G172410,-1.754759076
GRMZM2G127537,-1.75691336
GRMZM2G035213,-1.764209883
GRMZM2G006121,-1.767211439
GRMZM2G060156,-1.769363047
GRMZM2G129513,-1.770973986
GRMZM2G111637,-1.774687351
GRMZM2G122139,-1.775091565
GRMZM2G149383,-1.775780549
GRMZM2G117412,-1.78494573
AC234157.1_FG002,-1.788664435
GRMZM2G307600,-1.788840031
GRMZM2G104551,-1.788943105
GRMZM2G001805,-1.789913497
GRMZM2G042666,-1.793589064
GRMZM2G157197,-1.801051725
GRMZM2G103873,-1.80742185
GRMZM2G127230,-1.808342378
GRMZM2G006791,-1.817784829
GRMZM2G087079,-1.81950523
GRMZM2G172723,-1.820515633
GRMZM2G463913,-1.822593325
GRMZM5G815808,-1.825883072
GRMZM2G164202,-1.828336259
GRMZM2G055165,-1.83098781
GRMZM5G854533,-1.835353032
GRMZM2G027021,-1.844137482
GRMZM2G044851,-1.844156825
GRMZM2G423831,-1.848681611
GRMZM2G069569,-1.852888658
AC219006.2_FG006,-1.85327762
GRMZM2G093090,-1.854306115
GRMZM2G412601,-1.856559215
GRMZM2G176840,-1.857214789
GRMZM2G010221,-1.857389745
GRMZM2G025855,-1.864413229
GRMZM2G088669,-1.865191202
GRMZM5G870932,-1.870070103
GRMZM2G099642,-1.871511477
GRMZM2G131286,-1.872899578
GRMZM2G410352,-1.882287552
GRMZM2G102838,-1.88278823
GRMZM2G030606,-1.885525128
AC218972.3_FG004,-1.886240514
GRMZM5G807267,-1.886496712
AC205008.4_FG002,-1.889735908
GRMZM2G109244,-1.896343677
GRMZM5G810061,-1.898968584
GRMZM2G562473,-1.903081349
GRMZM2G339731,-1.903346017
GRMZM2G140288,-1.905256087
GRMZM2G357112,-1.911123077
GRMZM5G836910,-1.915153437
GRMZM2G095082,-1.916974394
GRMZM2G118005,-1.920134348
GRMZM2G122073,-1.920572308
GRMZM2G156227,-1.931181291
GRMZM2G091419,-1.932695099
GRMZM2G068947,-1.933008131
GRMZM2G096391,-1.93305176
GRMZM2G043453,-1.933447037
GRMZM2G052341,-1.933529696
GRMZM2G159641,-1.9341616
GRMZM2G082342,-1.934759093
GRMZM2G003762,-1.935336541
GRMZM2G144581,-1.936561134
GRMZM2G104658,-1.940019992
GRMZM2G135019,-1.942921137
GRMZM2G035134,-1.946419406
GRMZM2G323024,-1.949283311
GRMZM2G397247,-1.953896454
GRMZM2G154505,-1.95515619
GRMZM2G073059,-1.95954654
GRMZM2G148864,-1.964004256
GRMZM2G068316,-1.968421998
GRMZM2G341959,-1.969982251
GRMZM2G160730,-1.972416158
GRMZM2G158835,-1.974297511
GRMZM2G070659,-1.976694497
GRMZM2G118378,-1.981915231
GRMZM2G108981,-1.982094702
GRMZM2G179146,-1.984475708
GRMZM5G860978,-1.984716255
GRMZM2G138268,-1.98542235
GRMZM5G826389,-1.985951434
GRMZM2G092311,-1.986134016
GRMZM2G179677,-1.988801238
GRMZM2G154508,-1.988996964
GRMZM2G124473,-1.993170631
GRMZM2G023591,-1.996878783
GRMZM2G062724,-2.00040282
AC193645.3_FG008,-2.001814028
GRMZM2G010349,-2.004188587
GRMZM2G449147,-2.011533033
GRMZM2G174107,-2.018636985
GRMZM2G468574,-2.022132167
GRMZM2G114469,-2.02420718
GRMZM2G114503,-2.024214713
GRMZM2G044247,-2.025119404
GRMZM2G070011,-2.025224969
GRMZM2G001457,-2.025959446
GRMZM2G177412,-2.030619446
GRMZM5G851051,-2.032044278
GRMZM5G885392,-2.036240243
GRMZM2G048085,-2.036620398
GRMZM2G077206,-2.037209589
GRMZM2G122479,-2.037345989
GRMZM2G123719,-2.04379718
GRMZM2G145374,-2.051846261
GRMZM2G026980,-2.053293632
GRMZM2G090568,-2.054679454
GRMZM2G132591,-2.061812064
GRMZM5G876898,-2.063026898
GRMZM2G090112,-2.064073498
GRMZM2G348512,-2.066191475
GRMZM2G129540,-2.069824591
GRMZM2G028640,-2.072838377
GRMZM2G315431,-2.073383854
GRMZM5G803874,-2.075220556
GRMZM2G059191,-2.077195178
GRMZM2G069024,-2.077788309
GRMZM2G123815,-2.079608058
GRMZM5G881529,-2.08050637
GRMZM2G010929,-2.096851139
GRMZM2G021410,-2.099594901
GRMZM2G086788,-2.100603878
GRMZM2G068963,-2.10093133
GRMZM2G109526,-2.106762939
GRMZM2G128981,-2.109044064
GRMZM2G324390,-2.109894321
GRMZM2G021784,-2.113216275
GRMZM2G139803,-2.114598359
GRMZM2G142097,-2.127575192
GRMZM2G341366,-2.133349659
GRMZM2G399183,-2.137081646
GRMZM2G066219,-2.141726981
GRMZM2G074282,-2.142836329
GRMZM2G162527,-2.144135639
GRMZM2G123234,-2.148378387
GRMZM5G891096,-2.149948925
GRMZM2G175562,-2.158113049
GRMZM2G125653,-2.159241519
GRMZM2G106164,-2.166473044
GRMZM2G110657,-2.171581394
GRMZM2G155281,-2.17159562
GRMZM2G388420,-2.174527736
GRMZM2G081268,-2.179718928
GRMZM2G070847,-2.180273934
AC204611.4_FG001,-2.182057874
GRMZM2G039586,-2.184712043
GRMZM2G104397,-2.186069756
GRMZM2G079759,-2.186141573
GRMZM2G052507,-2.191217902
GRMZM2G133314,-2.200279876
GRMZM2G017045,-2.200816964
GRMZM2G133844,-2.209087024
GRMZM5G840582,-2.211148934
GRMZM5G874903,-2.211172924
GRMZM2G568636,-2.211921963
GRMZM2G004523,-2.212741876
GRMZM2G306345,-2.218485331
GRMZM2G150337,-2.222136124
GRMZM2G043162,-2.228597558
GRMZM2G345493,-2.246682527
GRMZM2G074393,-2.248832882
GRMZM5G889520,-2.255111644
GRMZM2G161673,-2.25778468
AC203535.4_FG004,-2.259861239
GRMZM2G051984,-2.264152887
GRMZM5G855361,-2.264768815
GRMZM5G862663,-2.270681326
GRMZM2G472852,-2.282151168
GRMZM2G139250,-2.282203197
GRMZM2G006363,-2.284801763
GRMZM5G889372,-2.286965056
GRMZM2G149317,-2.291487149
GRMZM2G050946,-2.306068871
GRMZM2G165255,-2.306109254
GRMZM2G344205,-2.309655024
GRMZM2G072808,-2.318536713
GRMZM2G048121,-2.325486486
GRMZM2G137868,-2.333268993
GRMZM2G143917,-2.334945172
GRMZM2G081114,-2.335502851
GRMZM2G081462,-2.339204043
GRMZM2G073351,-2.342585683
GRMZM2G076989,-2.343241677
GRMZM2G028665,-2.351147043
GRMZM2G135029,-2.353313817
GRMZM2G478212,-2.353709484
GRMZM2G471904,-2.359318506
GRMZM2G021617,-2.360316401
GRMZM2G071450,-2.36314081
AC194970.5_FG001,-2.365967191
GRMZM2G129209,-2.379400362
GRMZM2G003182,-2.381504528
GRMZM2G122853,-2.385031736
GRMZM2G097967,-2.397288156
GRMZM2G179292,-2.40432349
GRMZM2G353024,-2.405073655
GRMZM2G081803,-2.415254326
GRMZM2G104783,-2.416906417
GRMZM2G162614,-2.424407672
GRMZM2G105644,-2.429466366
GRMZM2G039996,-2.433605093
GRMZM2G159908,-2.433735022
GRMZM2G080107,-2.436974059
GRMZM2G144196,-2.440049983
GRMZM2G026614,-2.450994853
GRMZM2G103101,-2.453418798
GRMZM2G122327,-2.459608505
GRMZM2G337113,-2.46703994
GRMZM2G441888,-2.467467734
GRMZM2G081955,-2.471448672
GRMZM2G070605,-2.475534157
GRMZM5G826801,-2.492644344
GRMZM2G040145,-2.499181798
GRMZM2G098520,-2.499455699
GRMZM2G156472,-2.500088998
GRMZM2G010884,-2.512754548
GRMZM2G328908,-2.513926724
GRMZM5G845611,-2.526340364
GRMZM2G139786,-2.5380262
GRMZM2G113033,-2.541737106
GRMZM2G085019,-2.543195293
GRMZM2G113349,-2.543834194
GRMZM5G891187,-2.54592575
GRMZM2G077333,-2.547288121
GRMZM2G091825,-2.552954458
GRMZM2G449496,-2.553728413
GRMZM2G003246,-2.555453841
GRMZM2G154789,-2.566199851
GRMZM2G004060,-2.569687676
GRMZM2G417107,-2.58602194
GRMZM2G057374,-2.586265861
GRMZM2G098290,-2.602647975
GRMZM2G158328,-2.604122351
GRMZM2G032253,-2.623913374
AC210003.2_FG015,-2.63098179
GRMZM2G139852,-2.640321242
GRMZM2G013342,-2.641429308
GRMZM2G001696,-2.647579622
GRMZM2G056424,-2.652010685
GRMZM2G301150,-2.657902332
GRMZM2G150450,-2.674545506
GRMZM2G375448,-2.681256147
GRMZM2G321053,-2.712956813
GRMZM5G898274,-2.71370589
GRMZM2G047954,-2.733108126
GRMZM2G036880,-2.735147104
GRMZM5G885711,-2.769895007
GRMZM2G046284,-2.778728565
GRMZM2G155253,-2.788407687
GRMZM2G012276,-2.794954307
GRMZM2G408967,-2.797327685
GRMZM2G068179,-2.799169796
GRMZM2G085646,-2.855574307
GRMZM2G025882,-2.867409933
GRMZM2G476762,-2.876131463
GRMZM2G026024,-2.883284784
GRMZM2G410757,-2.8842227
GRMZM2G021256,-2.898339635
GRMZM5G832229,-2.945486666
GRMZM5G861547,-2.945761909
GRMZM2G048136,-2.966800709
GRMZM2G471517,-2.994795953
GRMZM2G125482,-3.009240155
GRMZM2G125314,-3.058785776
GRMZM2G436981,-3.075010898
GRMZM2G048313,-3.097019355
GRMZM2G046297,-3.1237495
GRMZM2G162200,-3.137330857
GRMZM5G883706,-3.170706199
GRMZM2G008263,-3.308375626
GRMZM2G377855,-3.309621913
GRMZM2G089574,-3.360495117
GRMZM2G351977,-3.370557048
GRMZM2G502606,-3.398082767
GRMZM2G138258,-3.402385011
GRMZM2G017290,-3.412650036
GRMZM2G068557,-3.463112493
GRMZM2G181258,-3.506922517
GRMZM2G160268,-4.184003236
GRMZM2G042893,-4.242428392
GRMZM2G372102,-4.287995502